# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "-O" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/3126.1.all.q/genomes/tb927_6/tb927_6.gtf" "-o" "/tmp/3126.1.all.q/P1C/counts.txt" "/tmp/3126.1.all.q/P1C/P1Csorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/3126.1.all.q/P1C/P1Csorted.bam
Tb927.9.11230	Tb927_09_v5.1	1776254	1776717	+	464	6903
Tb927.9.11250	Tb927_09_v5.1	1776931	1778274	+	1344	4882
Tb927.9.11260	Tb927_09_v5.1	1778540	1779734	+	1195	4328
Tb927.9.11270	Tb927_09_v5.1	1779854	1781863	+	2010	47508
Tb927.9.11300	Tb927_09_v5.1	1781967	1783225	+	1259	4567
Tb927.9.11330	Tb927_09_v5.1	1783333	1784437	+	1105	12658
Tb927.9.11350	Tb927_09_v5.1	1785350	1786375	+	1026	3655
Tb927.9.11360	Tb927_09_v5.1	1786627	1787700	+	1074	3335
Tb927.9.11370	Tb927_09_v5.1	1787858	1788336	+	479	2088
Tb927.9.11380	Tb927_09_v5.1	1788549	1789048	+	500	26414
Tb927.9.11410	Tb927_09_v5.1	1789160	1789594	+	435	25578
Tb927.9.11470	Tb927_09_v5.1	1789815	1790322	+	508	42270
Tb927.9.11480	Tb927_09_v5.1	1790429	1792544	+	2116	22223
Tb927.9.11490	Tb927_09_v5.1	1792674	1793181	+	508	42553
Tb927.9.11500	Tb927_09_v5.1	1794088	1796577	+	2490	5938
Tb927.9.11510	Tb927_09_v5.1	1796728	1798022	+	1295	3975
Tb927.9.11520	Tb927_09_v5.1	1798207	1800603	+	2397	5101
Tb927.9.11540	Tb927_09_v5.1	1800501	1803164	+	2664	29225
Tb927.9.11560	Tb927_09_v5.1	1802729	1804384	+	1656	8730
Tb927.9.11580	Tb927_09_v5.1	1804567	1805897	+	1331	28514
Tb927.9.11600	Tb927_09_v5.1	1807957	1809659	+	1703	27267
Tb927.9.11640	Tb927_09_v5.1	1809877	1812265	+	2389	7048
Tb927.9.11660	Tb927_09_v5.1	1812417	1813839	+	1423	3901
Tb927.9.11670	Tb927_09_v5.1	1813998	1817828	+	3831	8171
Tb927.9.11690	Tb927_09_v5.1	1818163	1820920	+	2758	5699
Tb927.9.11700	Tb927_09_v5.1	1821106	1821914	+	809	3287
Tb927.9.11720	Tb927_09_v5.1	1822053	1823828	+	1776	6754
Tb927.9.11740	Tb927_09_v5.1	1824849	1825719	+	871	2616
Tb927.9.11750	Tb927_09_v5.1	1826052	1827024	+	973	3836
Tb927.9.11760	Tb927_09_v5.1;Tb927_09_v5.1	1827379;1828355	1829631;1829631	+;+	2253	3913
Tb927.9.11770	Tb927_09_v5.1	1829896	1832992	+	3097	7109
Tb927.9.11790	Tb927_09_v5.1	1834676	1836545	+	1870	12500
Tb927.9.11800	Tb927_09_v5.1	1836698	1838660	+	1963	12467
Tb927.9.11810	Tb927_09_v5.1	1838810	1840567	+	1758	5015
Tb927.9.11820	Tb927_09_v5.1	1841215	1842917	+	1703	2149
Tb927.9.11830	Tb927_09_v5.1	1843058	1846037	+	2980	6660
Tb927.9.11840	Tb927_09_v5.1	1846191	1847569	+	1379	5695
Tb927.9.11850	Tb927_09_v5.1	1847726	1853097	+	5372	12196
Tb927.9.11870	Tb927_09_v5.1	1852513	1854400	+	1888	5612
Tb927.9.11880	Tb927_09_v5.1	1854535	1856215	+	1681	5418
Tb927.9.11890	Tb927_09_v5.1	1856378	1859579	+	3202	6022
Tb927.9.11900	Tb927_09_v5.1	1859923	1861710	+	1788	3953
Tb927.9.11910	Tb927_09_v5.1	1861886	1863342	+	1457	6178
Tb927.9.11930	Tb927_09_v5.1	1863758	1866733	+	2976	6038
Tb927.9.11940	Tb927_09_v5.1	1866937	1867767	+	831	6997
Tb927.9.11960	Tb927_09_v5.1	1868559	1870648	+	2090	5506
Tb927.9.11970	Tb927_09_v5.1	1870821	1872527	+	1707	3748
Tb927_09_v4.snoRNA.0056	Tb927_09_v5.1	1873155	1873298	+	144	323
Tb927_09_v4.snoRNA.0009	Tb927_09_v5.1	1873647	1873733	+	87	130
Tb927.9.12000	Tb927_09_v5.1	1874016	1876276	+	2261	12317
Tb927.9.12030	Tb927_09_v5.1;Tb927_09_v5.1	1876391;1876404	1877241;1877241	+;+	851	3457
Tb927.9.12040	Tb927_09_v5.1	1877337	1879101	+	1765	2779
Tb927.9.12070	Tb927_09_v5.1	1880009	1883400	+	3392	10041
Tb927.9.12080	Tb927_09_v5.1	1884573	1885498	+	926	3484
Tb927.9.12090	Tb927_09_v5.1	1885865	1892456	+	6592	10534
Tb927.9.12100	Tb927_09_v5.1	1892569	1893986	+	1418	3044
Tb927.9.12110	Tb927_09_v5.1	1894196	1895814	+	1619	11691
Tb927.9.12140	Tb927_09_v5.1	1896803	1898535	+	1733	6741
Tb927.9.12150	Tb927_09_v5.1	1898648	1899764	+	1117	4144
Tb927.9.12160	Tb927_09_v5.1	1899989	1902027	+	2039	7047
Tb927.9.12170	Tb927_09_v5.1	1902175	1907585	+	5411	10747
Tb927.9.12200	Tb927_09_v5.1	1907542	1908277	+	736	38340
Tb927.9.12240	Tb927_09_v5.1	1908444	1909096	+	653	48654
Tb927.9.12280	Tb927_09_v5.1	1909327	1910158	+	832	2808
Tb927.9.12290	Tb927_09_v5.1	1910292	1911494	+	1203	10362
Tb927.9.12300	Tb927_09_v5.1	1911763	1913340	+	1578	6663
Tb927.9.12310	Tb927_09_v5.1	1913479	1916351	+	2873	6371
Tb09_snoRNA_0079	Tb927_09_v5.1	1916734	1916799	+	66	277
Tb927_09_v4.snoRNA.0033	Tb927_09_v5.1	1916854	1917027	+	174	225
Tb927_09_v4.snoRNA.0043	Tb927_09_v5.1	1916974	1917027	+	54	69
Tb927_09_v4.snoRNA.0030	Tb927_09_v5.1	1917060	1917113	+	54	29
Tb927_09_v4.snoRNA.0006	Tb927_09_v5.1	1917061	1917342	+	282	264
Tb09_snoRNA_0084	Tb927_09_v5.1	1917396	1917461	+	66	109
Tb927_09_v4.snoRNA.0034	Tb927_09_v5.1	1917516	1917689	+	174	170
Tb927_09_v4.snoRNA.0044	Tb927_09_v5.1	1917636	1917689	+	54	56
Tb927_09_v4.snoRNA.0031	Tb927_09_v5.1	1917722	1917775	+	54	22
Tb927_09_v4.snoRNA.0007	Tb927_09_v5.1	1917723	1918004	+	282	210
Tb09_snoRNA_0089	Tb927_09_v5.1	1918058	1918123	+	66	100
Tb927_09_v4.snoRNA.0035	Tb927_09_v5.1	1918178	1918351	+	174	215
Tb927_09_v4.snoRNA.0045	Tb927_09_v5.1	1918298	1918351	+	54	69
Tb927_09_v4.snoRNA.0032	Tb927_09_v5.1	1918384	1918437	+	54	25
Tb927_09_v4.snoRNA.0008	Tb927_09_v5.1	1918613	1918666	+	54	50
Tb927.9.12320	Tb927_09_v5.1	1918837	1920844	+	2008	13139
Tb927.9.12330	Tb927_09_v5.1	1921432	1922121	+	690	2846
Tb9.NT.68	Tb927_09_v5.1	1922507	1922793	+	287	236
Tb927.9.12340	Tb927_09_v5.1	1922908	1925148	+	2241	2527
Tb927.9.12360	Tb927_09_v5.1	1927308	1931944	+	4637	11559
Tb927.9.12380	Tb927_09_v5.1	1933502	1935113	+	1612	3029
Tb927.9.12390	Tb927_09_v5.1	1935540	1936309	+	770	3505
Tb927.9.12400	Tb927_09_v5.1	1937325	1943793	+	6469	6291
Tb927.9.12430	Tb927_09_v5.1	1943590	1944331	+	742	2881
Tb927.9.12440	Tb927_09_v5.1	1944831	1945665	+	835	1077
Tb927.9.12450	Tb927_09_v5.1	1945859	1947261	+	1403	4838
Tb927.9.12470	Tb927_09_v5.1	1948033	1949170	+	1138	2604
Tb927.9.12480	Tb927_09_v5.1	1949981	1950495	+	515	2145
Tb927.9.12490	Tb927_09_v5.1	1951118	1955671	+	4554	4952
Tb927.9.12500	Tb927_09_v5.1	1956324	1958737	+	2414	3134
Tb927.9.12510	Tb927_09_v5.1	1959267	1961544	+	2278	14307
Tb927.9.12530	Tb927_09_v5.1	1964736	1966501	+	1766	2681
Tb927_09_v4.snoRNA.0048	Tb927_09_v5.1	1966976	1967044	+	69	123
Tb927_09_v4.snoRNA.0089	Tb927_09_v5.1	1967187	1967318	+	132	227
Tb927_09_v4.snoRNA.0017	Tb927_09_v5.1	1967311	1967565	+	255	223
Tb927_09_v4.snoRNA.0115	Tb927_09_v5.1	1967517	1967579	+	63	15
Tb927_09_v4.snoRNA.0001	Tb927_09_v5.1	1968053	1968055	+	3	597
Tb927.9.12550	Tb927_09_v5.1	1968080	1970284	+	2205	25402
Tb927_09_v4.snoRNA.0095	Tb927_09_v5.1	1970479	1970481	+	3	26
Tb927_09_v4.snoRNA.0049	Tb927_09_v5.1	1970594	1970620	+	27	117
Tb927_09_v4.snoRNA.0091	Tb927_09_v5.1	1970763	1970894	+	132	238
Tb927_09_v4.snoRNA.0018	Tb927_09_v5.1	1970887	1971141	+	255	1072
Tb927_09_v4.snoRNA.0120	Tb927_09_v5.1	1971093	1971317	+	225	1447
Tb927_09_v4.snoRNA.0002	Tb927_09_v5.1	1971629	1971631	+	3	149
Tb927.9.12570	Tb927_09_v5.1	1971656	1973862	+	2207	28182
Tb927_09_v4.snoRNA.0096	Tb927_09_v5.1	1974057	1974059	+	3	37
Tb927_09_v4.snoRNA.0050	Tb927_09_v5.1	1974172	1974198	+	27	133
Tb927_09_v4.snoRNA.0090	Tb927_09_v5.1	1974341	1974472	+	132	205
Tb927_09_v4.snoRNA.0019	Tb927_09_v5.1	1974465	1974719	+	255	231
Tb927_09_v4.snoRNA.0116	Tb927_09_v5.1	1974671	1974733	+	63	17
Tb927_09_v4.snoRNA.0003	Tb927_09_v5.1	1975207	1975209	+	3	148
Tb927.9.12590	Tb927_09_v5.1	1975234	1977375	+	2142	22017
Tb927_09_v4.snoRNA.0097	Tb927_09_v5.1	1977632	1977634	+	3	38
Tb927_09_v4.snoRNA.0051	Tb927_09_v5.1	1977705	1977773	+	69	58
Tb927_09_v4.snoRNA.0092	Tb927_09_v5.1	1977916	1978047	+	132	220
Tb927_09_v4.snoRNA.0020	Tb927_09_v5.1	1978040	1978294	+	255	463
Tb927_09_v4.snoRNA.0117	Tb927_09_v5.1	1978246	1978308	+	63	217
Tb927_09_v4.snoRNA.0004	Tb927_09_v5.1	1978782	1978784	+	3	152
Tb927.9.12610	Tb927_09_v5.1	1978809	1981016	+	2208	23500
Tb927_09_v4.snoRNA.0098	Tb927_09_v5.1	1981211	1981213	+	3	34
Tb927_09_v4.snoRNA.0052	Tb927_09_v5.1	1981284	1981352	+	69	125
Tb927_09_v4.snoRNA.0093	Tb927_09_v5.1	1981495	1981626	+	132	216
Tb927_09_v4.snoRNA.0021	Tb927_09_v5.1	1981619	1981873	+	255	450
Tb927_09_v4.snoRNA.0118	Tb927_09_v5.1	1981825	1981887	+	63	212
Tb927_09_v4.snoRNA.0005	Tb927_09_v5.1	1982361	1982363	+	3	159
Tb927.9.12630	Tb927_09_v5.1	1982388	1984534	+	2147	23975
Tb927_09_v4.snoRNA.0099	Tb927_09_v5.1	1984791	1984793	+	3	28
Tb927_09_v4.snoRNA.0053	Tb927_09_v5.1	1984864	1984932	+	69	66
Tb927_09_v4.snoRNA.0094	Tb927_09_v5.1	1985075	1985206	+	132	168
Tb927_09_v4.snoRNA.0022	Tb927_09_v5.1	1985199	1985453	+	255	247
Tb927_09_v4.snoRNA.0119	Tb927_09_v5.1	1985405	1985467	+	63	17
Tb927.9.12650	Tb927_09_v5.1	1985928	1989798	+	3871	62721
Tb927.9.12670	Tb927_09_v5.1	1990453	1991828	+	1376	2547
Tb927.9.12680	Tb927_09_v5.1	1992289	1993133	+	845	1478
Tb927.9.12690	Tb927_09_v5.1	1994000	1995699	+	1700	2880
Tb927.9.12700	Tb927_09_v5.1	1995851	1998622	+	2772	15610
Tb927.9.12710	Tb927_09_v5.1	1998809	2000230	+	1422	3842
Tb927.9.12720	Tb927_09_v5.1	2000348	2001585	+	1238	2781
Tb927.9.12730	Tb927_09_v5.1	2001905	2004397	+	2493	9201
Tb927.9.12740	Tb927_09_v5.1	2004552	2005934	+	1383	2944
Tb927.9.12750	Tb927_09_v5.1	2006930	2009218	+	2289	6904
Tb927.9.12770	Tb927_09_v5.1	2009349	2012586	+	3238	8555
Tb927.9.12780	Tb927_09_v5.1	2012907	2016413	+	3507	6909
Tb927.9.12790	Tb927_09_v5.1	2016615	2020712	+	4098	7153
Tb927.9.12800	Tb927_09_v5.1	2020950	2024574	+	3625	6255
Tb927.9.12810	Tb927_09_v5.1	2024709	2026509	+	1801	3029
Tb927.9.12820	Tb927_09_v5.1	2026639	2027080	+	442	2751
Tb927.9.12830	Tb927_09_v5.1	2027757	2030892	+	3136	6388
Tb927.9.12850	Tb927_09_v5.1	2030994	2033014	+	2021	4567
Tb927.9.12870	Tb927_09_v5.1	2033136	2033567	+	432	1612
Tb927.9.12880	Tb927_09_v5.1	2033843	2035951	+	2109	6292
Tb927.9.12890	Tb927_09_v5.1	2036276	2036995	+	720	3436
Tb927.9.12900	Tb927_09_v5.1	2037158	2039545	+	2388	6148
Tb927.9.12930	Tb927_09_v5.1	2039690	2041263	+	1574	5798
Tb927.9.12950	Tb927_09_v5.1	2041383	2042667	+	1285	3788
Tb927.9.12960	Tb927_09_v5.1	2043188	2045344	+	2157	6105
Tb927.9.12980	Tb927_09_v5.1	2047239	2049473	+	2235	18578
Tb927.9.12990	Tb927_09_v5.1	2049600	2054142	+	4543	6271
Tb927.9.13010	Tb927_09_v5.1	2054247	2056408	+	2162	7012
Tb927.9.13020	Tb927_09_v5.1	2056533	2057694	+	1162	2101
Tb927.9.13030	Tb927_09_v5.1	2058733	2060155	+	1423	4513
Tb927.9.13040	Tb927_09_v5.1;Tb927_09_v5.1	2060301;2060414	2061638;2061638	+;+	1338	3469
Tb927.9.13050	Tb927_09_v5.1	2062454	2066196	+	3743	7870
Tb927.9.13060	Tb927_09_v5.1	2066571	2068788	+	2218	5773
Tb927.9.13070	Tb927_09_v5.1	2068993	2070602	+	1610	54291
Tb927.9.13100	Tb927_09_v5.1	2070780	2071388	+	609	4734
Tb927.9.13110	Tb927_09_v5.1	2071649	2073482	+	1834	5693
Tb927.9.13120	Tb927_09_v5.1	2073942	2074700	+	759	1971
Tb927.9.13130	Tb927_09_v5.1	2074994	2077190	+	2197	3218
Tb927.9.13140	Tb927_09_v5.1	2077308	2079404	+	2097	4399
Tb927.9.13150	Tb927_09_v5.1	2079636	2080698	+	1063	2595
Tb927.9.13160	Tb927_09_v5.1	2080924	2085956	-	5033	1264
Tb927.9.13200	Tb927_09_v5.1	2086079	2087036	-	958	3236
Tb09_tRNA_Gly_1	Tb927_09_v5.1	2087749	2087819	+	71	127
Tb927.9.13225	Tb927_09_v5.1	2088549	2089040	-	492	724
Tb927.9.13240	Tb927_09_v5.1	2089464	2091069	-	1606	4786
Tb927.9.13250	Tb927_09_v5.1	2091351	2093444	-	2094	5056
Tb927.9.13280	Tb927_09_v5.1	2093883	2095203	-	1321	3280
Tb927.9.13290	Tb927_09_v5.1	2095334	2096438	-	1105	2560
Tb927.9.13300	Tb927_09_v5.1;Tb927_09_v5.1	2096609;2096609	2098298;2098324	-;-	1716	2949
Tb927.9.13310	Tb927_09_v5.1	2098416	2099090	-	675	2097
Tb927.9.13320	Tb927_09_v5.1	2099555	2101181	-	1627	7221
Tb927.9.13330	Tb927_09_v5.1	2101378	2105304	-	3927	7213
Tb927.9.13340	Tb927_09_v5.1	2105417	2107149	-	1733	4287
Tb927.9.13350	Tb927_09_v5.1	2107291	2108495	-	1205	3677
Tb927.9.13360	Tb927_09_v5.1	2111432	2117516	-	6085	9381
Tb927.9.13380	Tb927_09_v5.1	2117935	2121171	-	3237	27120
Tb927.9.13430	Tb927_09_v5.1	2123458	2127309	-	3852	4248
Tb927.9.13440	Tb927_09_v5.1	2128239	2133162	-	4924	10516
Tb927.9.13460	Tb927_09_v5.1	2133499	2134102	-	604	4203
Tb927.9.13470	Tb927_09_v5.1	2134412	2136935	-	2524	7122
Tb927.9.13480	Tb927_09_v5.1	2136949	2137891	-	943	1493
Tb927.9.13490	Tb927_09_v5.1	2137982	2140385	-	2404	8531
Tb927.9.13510	Tb927_09_v5.1	2141810	2144118	-	2309	3844
Tb927.9.13520	Tb927_09_v5.1	2144466	2148056	-	3591	15124
Tb927.9.13530	Tb927_09_v5.1	2148463	2149111	-	649	2365
Tb927.9.13540	Tb927_09_v5.1	2149221	2150519	-	1299	4328
Tb927.9.13570	Tb927_09_v5.1	2150876	2153891	-	3016	4420
Tb927.9.13580	Tb927_09_v5.1	2154061	2155969	-	1909	5200
Tb927.9.13610	Tb927_09_v5.1	2157606	2162559	-	4954	8589
Tb927.9.13620	Tb927_09_v5.1	2163087	2169481	-	6395	6036
Tb927.9.13630	Tb927_09_v5.1	2169593	2171024	-	1432	5136
Tb927.9.13650	Tb927_09_v5.1	2171161	2171934	-	774	12116
Tb927.9.13655	Tb927_09_v5.1	2172037	2172692	-	656	8412
Tb927.9.13680	Tb927_09_v5.1	2172884	2173503	-	620	10304
Tb927.9.13710	Tb927_09_v5.1	2173610	2174261	-	652	10016
Tb927.9.13740	Tb927_09_v5.1	2174400	2175549	-	1150	10166
Tb927.9.13770	Tb927_09_v5.1	2175948	2176885	-	938	4474
Tb927.9.13780	Tb927_09_v5.1	2177114	2178147	-	1034	3851
Tb927.9.13785	Tb927_09_v5.1	2178426	2178842	-	417	25273
Tb927.9.13795	Tb927_09_v5.1	2178980	2179435	-	456	27559
Tb927.9.13820	Tb927_09_v5.1	2179563	2180008	-	446	20432
Tb927.9.13860	Tb927_09_v5.1	2180146	2180601	-	456	27754
Tb927.9.13920	Tb927_09_v5.1	2180729	2181174	-	446	23915
Tb927.9.13970	Tb927_09_v5.1	2181318	2183168	-	1851	5271
Tb927.9.13990	Tb927_09_v5.1	2183493	2188127	-	4635	39263
Tb927.9.14000	Tb927_09_v5.1	2188849	2189424	-	576	17991
Tb927.9.14030	Tb927_09_v5.1	2189565	2192072	-	2508	7396
Tb927.9.14040	Tb927_09_v5.1	2192195	2193803	-	1609	4417
Tb927.9.14050	Tb927_09_v5.1	2194108	2195895	-	1788	4507
Tb927.9.14070	Tb927_09_v5.1	2196053	2198041	-	1989	5063
Tb927.9.14080	Tb927_09_v5.1	2199227	2200361	-	1135	5575
Tb927.9.14100	Tb927_09_v5.1	2201119	2202484	-	1366	4713
Tb927.9.14120	Tb927_09_v5.1	2203304	2206977	-	3674	3848
Tb927.9.14130	Tb927_09_v5.1	2206848	2209732	-	2885	7808
Tb927.9.14140	Tb927_09_v5.1	2210215	2211629	-	1415	5623
Tb927.9.14160	Tb927_09_v5.1	2213001	2214071	-	1071	5654
Tb927.9.14170	Tb927_09_v5.1	2213919	2216587	-	2669	3021
Tb927.9.14180	Tb927_09_v5.1	2216718	2218113	-	1396	4639
Tb927.9.14190	Tb927_09_v5.1	2218114	2222806	-	4693	5781
Tb927.9.14200	Tb927_09_v5.1	2223485	2224753	-	1269	2707
Tb927.9.14220	Tb927_09_v5.1	2224877	2227230	-	2354	12024
Tb927.9.14230	Tb927_09_v5.1	2228300	2229020	-	721	2829
Tb927.9.14240	Tb927_09_v5.1	2229309	2232047	-	2739	6352
Tb927.9.14260	Tb927_09_v5.1	2232163	2235196	-	3034	6915
Tb927.9.14280	Tb927_09_v5.1	2235925	2241247	-	5323	12831
Tb927.9.14290	Tb927_09_v5.1	2241378	2243075	-	1698	10740
Tb927.9.14300	Tb927_09_v5.1	2243206	2245373	-	2168	4088
Tb927.9.14330	Tb927_09_v5.1	2245479	2248178	-	2700	11233
Tb927.9.14370	Tb927_09_v5.1	2248319	2248894	-	576	38911
Tb927.9.14400	Tb927_09_v5.1	2249998	2251188	-	1191	4254
Tb927.9.14410	Tb927_09_v5.1	2251391	2252619	-	1229	2087
Tb927.9.14420	Tb927_09_v5.1	2252786	2254356	-	1571	3911
Tb927.9.14430	Tb927_09_v5.1	2254610	2256084	-	1475	11975
Tb927.9.14440	Tb927_09_v5.1	2256229	2257316	-	1088	4008
Tb927.9.14470	Tb927_09_v5.1	2257416	2261007	-	3592	9496
Tb927.9.14480	Tb927_09_v5.1	2261144	2262499	-	1356	9521
Tb927.9.14530	Tb927_09_v5.1	2267369	2268361	+	993	2217
Tb927.9.14540	Tb927_09_v5.1	2268388	2271812	+	3425	4154
Tb927.9.14570	Tb927_09_v5.1	2276553	2278426	+	1874	3990
Tb927.9.14600	Tb927_09_v5.1	2282953	2285376	+	2424	3286
Tb927.9.14630	Tb927_09_v5.1	2289123	2289248	+	126	64
Tb927.9.14650	Tb927_09_v5.1	2289698	2293048	+	3351	524
Tb927.9.14660	Tb927_09_v5.1	2293002	2295119	+	2118	553
Tb927.9.14670	Tb927_09_v5.1	2295529	2295546	+	18	8
Tb927.9.14680	Tb927_09_v5.1	2296878	2297021	+	144	195
Tb927.9.14690	Tb927_09_v5.1	2298261	2298404	+	144	210
Tb927.9.14700	Tb927_09_v5.1	2299638	2299781	+	144	225
Tb927.9.14710	Tb927_09_v5.1	2300996	2301427	+	432	237
Tb927.9.14720	Tb927_09_v5.1	2302442	2302585	+	144	236
Tb927.9.14730	Tb927_09_v5.1	2303847	2303990	+	144	217
Tb927.9.14740	Tb927_09_v5.1	2305255	2305398	+	144	217
Tb927.9.14750	Tb927_09_v5.1	2306617	2306760	+	144	206
Tb927.9.14760	Tb927_09_v5.1	2307981	2308124	+	144	222
Tb927.9.14770	Tb927_09_v5.1	2309349	2309492	+	144	232
Tb927.9.14780	Tb927_09_v5.1	2310720	2310863	+	144	202
Tb927.9.14790	Tb927_09_v5.1	2312108	2312251	+	144	232
Tb927.9.14800	Tb927_09_v5.1	2313471	2313629	+	159	235
Tb927.9.14810	Tb927_09_v5.1	2314880	2315023	+	144	230
Tb927.9.14820	Tb927_09_v5.1	2316274	2316417	+	144	244
Tb927.9.14830	Tb927_09_v5.1	2317650	2317793	+	144	219
Tb927.9.14840	Tb927_09_v5.1	2319011	2319154	+	144	206
Tb927.9.14850	Tb927_09_v5.1	2320427	2320570	+	144	211
Tb927.9.14860	Tb927_09_v5.1	2321791	2321934	+	144	228
Tb927.9.14870	Tb927_09_v5.1	2323148	2323291	+	144	195
Tb927.9.14880	Tb927_09_v5.1	2324555	2324698	+	144	238
Tb927.9.14890	Tb927_09_v5.1	2325938	2326081	+	144	211
Tb927.9.14900	Tb927_09_v5.1	2327300	2327443	+	144	234
Tb927.9.14910	Tb927_09_v5.1	2328681	2328839	+	159	226
Tb927.9.14920	Tb927_09_v5.1	2330078	2330221	+	144	224
Tb927.9.14930	Tb927_09_v5.1	2331412	2331528	+	117	188
Tb927.9.14940	Tb927_09_v5.1	2336966	2339495	-	2530	1697
Tb927.9.14990	Tb927_09_v5.1	2341447	2342137	+	691	1912
Tb927.9.15000	Tb927_09_v5.1	2342248	2343224	+	977	5536
Tb927.9.15010	Tb927_09_v5.1	2343266	2343979	+	714	4820
Tb927.9.15020	Tb927_09_v5.1;Tb927_09_v5.1	2344041;2345168	2346129;2346129	+;+	2089	5334
Tb927.9.15030	Tb927_09_v5.1	2346248	2347865	+	1618	3327
Tb927.9.15040	Tb927_09_v5.1	2348083	2348949	+	867	2195
Tb927.9.15050	Tb927_09_v5.1	2349136	2350559	+	1424	6390
Tb927.9.15060	Tb927_09_v5.1	2350792	2351596	+	805	2680
Tb927.9.15070	Tb927_09_v5.1	2352052	2355001	+	2950	13494
Tb927.9.15080	Tb927_09_v5.1	2355234	2355987	+	754	1970
Tb927.9.15090	Tb927_09_v5.1	2356115	2357253	+	1139	15000
Tb927.9.15100	Tb927_09_v5.1	2357402	2358796	+	1395	3852
Tb927.9.15110	Tb927_09_v5.1	2359090	2360206	+	1117	37514
Tb927.9.15170	Tb927_09_v5.1	2360382	2361402	+	1021	36834
Tb927.9.15190	Tb927_09_v5.1	2361556	2362285	+	730	17847
Tb927.9.15210	Tb927_09_v5.1	2362505	2362919	+	415	17186
Tb927.9.15230	Tb927_09_v5.1	2363103	2365168	+	2066	6987
Tb927.9.15240	Tb927_09_v5.1	2365561	2366344	+	784	1461
Tb927.9.15260	Tb927_09_v5.1	2367234	2368632	+	1399	3440
Tb927.9.15270	Tb927_09_v5.1	2368768	2370415	+	1648	4353
Tb927.9.15290	Tb927_09_v5.1	2370925	2375128	+	4204	7134
Tb927.9.15320	Tb927_09_v5.1	2376188	2378357	+	2170	4252
Tb927.9.15330	Tb927_09_v5.1	2378596	2381504	+	2909	2937
Tb927.9.15350	Tb927_09_v5.1	2381771	2383918	+	2148	2439
Tb927.9.15360	Tb927_09_v5.1	2384322	2385205	+	884	41947
Tb927.9.15380	Tb927_09_v5.1	2385699	2389195	+	3497	5051
Tb927.9.15400	Tb927_09_v5.1	2389353	2398792	+	9440	13284
Tb927.9.15420	Tb927_09_v5.1	2399652	2400460	+	809	55813
Tb927.9.15450	Tb927_09_v5.1	2400978	2403793	+	2816	5236
Tb927.9.15460	Tb927_09_v5.1	2403896	2408915	+	5020	25334
Tb927.9.15470	Tb927_09_v5.1	2409432	2412243	+	2812	7713
Tb927.9.15480	Tb927_09_v5.1	2413055	2415920	+	2866	1616
Tb927.9.15490	Tb927_09_v5.1	2416134	2417710	+	1577	3373
Tb927.9.15510	Tb927_09_v5.1	2420500	2421926	+	1427	2273
Tb927.9.15520	Tb927_09_v5.1	2422401	2423239	+	839	1846
Tb927.9.15530	Tb927_09_v5.1	2424196	2425520	+	1325	3045
Tb927.9.15540	Tb927_09_v5.1	2425995	2427411	+	1417	897
Tb927.9.15550	Tb927_09_v5.1	2427886	2429299	+	1414	1011
Tb927.9.15560	Tb927_09_v5.1	2429773	2431079	+	1307	1785
Tb927.9.15570	Tb927_09_v5.1	2431554	2432931	+	1378	1013
Tb927.9.15580	Tb927_09_v5.1	2433406	2434718	+	1313	1136
Tb927.9.15590	Tb927_09_v5.1	2435193	2436658	+	1466	1021
Tb927.9.15600	Tb927_09_v5.1	2437133	2438454	+	1322	1908
Tb927.9.15610	Tb927_09_v5.1	2438929	2440250	+	1322	1799
Tb927.9.15620	Tb927_09_v5.1	2440725	2442025	+	1301	1119
Tb927.9.15630	Tb927_09_v5.1	2442500	2443823	+	1324	2039
Tb927.9.15640	Tb927_09_v5.1	2444298	2445608	+	1311	3274
Tb927.9.15650	Tb927_09_v5.1	2446252	2447973	+	1722	6236
Tb927.9.15660	Tb927_09_v5.1	2448922	2456758	+	7837	3908
Tb927.9.15680	Tb927_09_v5.1	2457066	2458306	+	1241	519
Tb927.9.15700	Tb927_09_v5.1	2458711	2462666	+	3956	625
Tb927.9.15710	Tb927_09_v5.1	2469682	2471122	+	1441	14
Tb927.9.15720	Tb927_09_v5.1	2471131	2474671	+	3541	606
Tb927.9.15730	Tb927_09_v5.1	2478135	2479575	+	1441	11
Tb927.9.15740	Tb927_09_v5.1	2480111	2480758	-	648	179
Tb927.9.15750	Tb927_09_v5.1	2481838	2483128	+	1291	1
Tb927.9.15760	Tb927_09_v5.1	2486603	2488052	+	1450	16
Tb927.9.15770	Tb927_09_v5.1	2488593	2489240	-	648	78
Tb927.9.15780	Tb927_09_v5.1	2490320	2491610	+	1291	0
Tb927.9.15790	Tb927_09_v5.1	2493402	2496521	+	3120	359
Tb927.9.15800	Tb927_09_v5.1	2497243	2499237	-	1995	196
Tb927.9.15810	Tb927_09_v5.1	2500454	2502280	-	1827	2013
Tb927.9.15820	Tb927_09_v5.1	2504107	2505541	-	1435	975
Tb927.9.15850	Tb927_09_v5.1	2506253	2510334	-	4082	2131
Tb927.9.15870	Tb927_09_v5.1	2511377	2512561	-	1185	1797
